,category,gsk3b K,gsk3b Top 1,gsk3b Top 1 SA,gsk3b Top 10,gsk3b Top 10 SA,gsk3b Top 100,gsk3b Top 100 SA,gsk3b 2nd,gsk3b 2nd SA,gsk3b 3rd,gsk3b 3rd SA,gsk3b Top 1 AUC,gsk3b Top 10 AUC,gsk3b Top 100 AUC,jnk3 K,jnk3 Top 1,jnk3 Top 1 SA,jnk3 Top 10,jnk3 Top 10 SA,jnk3 Top 100,jnk3 Top 100 SA,jnk3 2nd,jnk3 2nd SA,jnk3 3rd,jnk3 3rd SA,jnk3 Top 1 AUC,jnk3 Top 10 AUC,jnk3 Top 100 AUC,drd2 K,drd2 Top 1,drd2 Top 1 SA,drd2 Top 10,drd2 Top 10 SA,drd2 Top 100,drd2 Top 100 SA,drd2 2nd,drd2 2nd SA,drd2 3rd,drd2 3rd SA,drd2 Top 1 AUC,drd2 Top 10 AUC,drd2 Top 100 AUC
synnet,synthesis,9059.4,0.932 (8|3),2.576 (5|2),0.901 (8|3),2.747 (6|3),0.797 (9|3),2.897 (6|4),0.918 (8|3),2.745 (9|4),0.914 (8|3),2.677 (5|3),0.846 (5|2),0.777 (6|2),0.638 (5|1),6240,0.798 (7|3),2.116 (3|2),0.715 (8|3),2.172 (1|1),0.563 (10|3),2.244 (2|2),0.764 (8|3),2.076 (2|1),0.74 (8|3),2.126 (2|1),0.679 (5|3),0.581 (5|3),0.405 (10|3),6472.6,1.0 (1|1),2.58 (7|3),0.998 (9|3),2.806 (8|4),0.986 (12|3),2.845 (7|4),0.999 (9|3),2.955 (9|4),0.999 (8|3),2.993 (7|4),0.977 (4|3),0.953 (3|2),0.849 (6|2)
pasithea,string,2531.2,0.414 (24|10),3.34 (14|5),0.294 (25|10),3.277 (11|3),0.151 (26|10),3.782 (13|4),0.344 (25|10),2.677 (5|2),0.312 (26|10),2.843 (6|3),0.335 (25|10),0.237 (26|10),0.109 (26|10),2707.4,0.21 (24|10),2.804 (9|4),0.158 (24|10),2.669 (9|3),0.081 (26|10),3.433 (13|5),0.186 (24|10),2.531 (7|3),0.176 (24|10),2.116 (1|1),0.185 (24|10),0.134 (24|10),0.06 (26|10),2983.2,0.592 (24|10),4.057 (22|7),0.275 (25|10),3.894 (22|7),0.065 (25|10),3.858 (19|7),0.428 (25|10),3.051 (11|4),0.341 (25|10),4.362 (22|7),0.413 (25|10),0.178 (25|10),0.042 (25|10)
dog_ae,synthesis,1319,0.778 (12|4),2.727 (8|4),0.624 (14|4),2.86 (7|4),0.378 (18|4),2.874 (5|3),0.692 (16|4),2.695 (8|3),0.65 (15|4),2.947 (7|4),0.611 (17|4),0.456 (17|4),0.217 (20|4),1219.8,0.554 (13|4),2.38 (6|4),0.493 (13|4),2.625 (7|4),0.263 (17|4),2.734 (8|4),0.536 (12|4),2.9 (12|4),0.53 (12|4),2.296 (4|2),0.443 (14|4),0.304 (16|4),0.124 (20|4),1337,0.999 (11|4),2.444 (5|2),0.979 (15|4),2.495 (4|2),0.589 (16|4),2.641 (5|3),0.996 (12|4),2.202 (3|1),0.992 (12|4),2.296 (3|2),0.896 (12|4),0.712 (16|4),0.248 (18|4)
smiles_vae_bo,string,10000,0.606 (20|7),3.005 (10|2),0.473 (21|8),2.901 (8|2),0.284 (21|8),2.948 (7|2),0.546 (20|7),2.878 (11|4),0.514 (20|7),2.531 (3|2),0.537 (20|7),0.386 (20|7),0.215 (21|8),10000,0.432 (18|5),2.696 (8|3),0.302 (21|8),2.495 (6|2),0.162 (21|8),2.67 (6|2),0.362 (21|8),2.664 (10|5),0.346 (19|7),2.184 (3|2),0.376 (17|5),0.242 (18|6),0.124 (20|8),10000,0.899 (20|8),2.282 (3|2),0.774 (18|7),2.948 (9|3),0.319 (19|8),3.388 (12|5),0.872 (20|8),2.928 (8|3),0.846 (20|8),3.097 (9|3),0.82 (17|7),0.555 (19|8),0.187 (19|8)
jt_vae_bo,graph,4972.4,0.512 (23|8),3.546 (16|4),0.38 (23|8),3.403 (14|3),0.223 (24|9),3.581 (11|3),0.454 (23|8),3.221 (14|3),0.42 (23|8),3.615 (15|4),0.451 (22|8),0.322 (23|8),0.18 (24|9),5853.2,0.404 (22|8),2.884 (10|1),0.257 (23|8),2.894 (11|1),0.139 (23|8),3.208 (10|1),0.35 (23|8),2.571 (8|1),0.302 (22|8),3.125 (11|1),0.318 (21|8),0.199 (23|8),0.106 (23|8),4099.2,0.778 (23|8),3.226 (14|4),0.558 (23|8),3.585 (18|6),0.197 (23|8),3.84 (18|6),0.684 (23|8),3.227 (13|3),0.648 (23|8),3.267 (12|5),0.688 (22|8),0.434 (22|8),0.132 (23|8)
moldqn,graph,10000,0.344 (26|10),5.731 (23|10),0.286 (26|10),5.871 (23|10),0.218 (25|10),6.215 (24|10),0.334 (26|10),5.837 (23|10),0.32 (25|10),6.476 (25|10),0.287 (26|10),0.242 (25|10),0.177 (25|10),10000,0.152 (26|10),6.144 (24|9),0.13 (26|10),6.043 (23|9),0.093 (24|9),6.014 (23|9),0.14 (26|10),5.927 (23|9),0.138 (26|10),6.13 (24|9),0.135 (26|10),0.111 (25|9),0.075 (24|9),10000,0.049 (26|10),4.346 (23|10),0.033 (26|10),5.489 (24|10),0.024 (26|10),6.036 (25|10),0.038 (26|10),5.234 (23|10),0.036 (26|10),5.348 (23|10),0.03 (26|10),0.025 (26|10),0.019 (26|10)
mars,graph,4285.4,0.684 (17|6),3.277 (12|3),0.607 (17|7),4.148 (17|5),0.536 (15|7),4.598 (19|6),0.644 (17|6),4.005 (18|5),0.614 (19|7),4.093 (17|5),0.556 (18|7),0.481 (16|7),0.368 (15|7),5520.6,0.646 (10|4),3.6 (15|3),0.587 (11|4),3.652 (15|3),0.497 (11|4),3.941 (16|4),0.614 (11|4),3.242 (14|3),0.592 (11|4),3.525 (14|3),0.475 (12|5),0.42 (12|5),0.313 (12|5),7840.6,0.995 (13|4),4.019 (21|9),0.989 (13|5),3.778 (21|9),0.96 (14|5),3.859 (20|7),0.993 (13|4),3.949 (21|8),0.99 (14|5),3.804 (21|9),0.919 (9|3),0.86 (10|3),0.688 (12|4)
selfies_lstm_hc,string,10000,0.65 (19|6),3.854 (18|7),0.602 (18|6),4.311 (18|7),0.503 (16|6),4.422 (17|7),0.636 (19|6),3.8 (16|7),0.624 (18|6),4.564 (20|7),0.54 (19|6),0.424 (19|6),0.293 (18|7),10000,0.428 (19|6),2.668 (7|2),0.303 (20|7),3.402 (14|6),0.216 (19|7),3.529 (14|6),0.36 (22|9),2.599 (9|4),0.328 (21|8),3.671 (15|6),0.304 (22|8),0.207 (22|9),0.137 (18|7),10000,1.0 (1|1),3.351 (16|5),1.0 (1|1),3.262 (13|5),0.993 (10|5),3.335 (9|4),1.0 (1|1),3.304 (14|6),1.0 (1|1),3.404 (16|5),0.848 (16|6),0.729 (15|6),0.51 (14|6)
gp_bo,graph,10000,0.986 (3|1),2.74 (9|2),0.975 (3|1),3.057 (10|2),0.957 (3|1),3.133 (10|2),0.978 (3|1),2.932 (12|2),0.978 (3|1),2.964 (8|1),0.879 (3|1),0.851 (1|1),0.808 (1|1),10000,0.698 (9|3),3.753 (17|4),0.69 (9|3),3.744 (16|4),0.676 (8|3),3.867 (15|3),0.698 (9|3),3.87 (18|5),0.694 (9|3),3.709 (16|4),0.593 (8|3),0.566 (6|1),0.525 (3|1),10000,1.0 (1|1),2.992 (11|2),0.999 (8|2),3.201 (11|3),0.998 (7|2),3.372 (11|3),1.0 (1|1),2.969 (10|2),0.999 (8|2),3.163 (10|3),0.958 (6|2),0.924 (5|2),0.87 (3|2)
smiles_ga,string,6214.6,0.722 (15|5),6.22 (24|8),0.709 (11|5),6.321 (24|8),0.687 (11|5),6.214 (23|8),0.718 (12|5),6.649 (25|9),0.714 (11|5),6.428 (24|9),0.632 (16|5),0.575 (13|5),0.515 (12|5),8293.6,0.414 (20|7),5.871 (23|9),0.393 (17|5),6.37 (24|9),0.375 (14|5),6.55 (24|9),0.4 (17|5),6.839 (24|9),0.394 (17|5),6.12 (23|9),0.323 (20|7),0.302 (17|5),0.272 (14|5),4286.4,0.987 (15|6),6.56 (26|10),0.987 (14|6),6.737 (26|10),0.987 (11|6),6.751 (26|10),0.987 (15|6),6.336 (26|10),0.987 (15|6),6.849 (26|10),0.854 (14|5),0.799 (11|5),0.718 (10|5)
